Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,83.9,83.96,82.3,82.82,82.82,4769700
2019-04-02,83.22,83.28,82.36,83.08,83.08,3306400
2019-04-03,83.04,83.26,82.23,82.91,82.91,2771300
2019-04-04,83.26,83.26,82.15,82.62,82.62,2401200
2019-04-05,82.82,83.59,82.49,83.57,83.57,2194600
2019-04-08,83.38,83.61,82.67,83.15,83.15,3121000
2019-04-09,83.08,83.77,82.98,83.57,83.57,1898500
2019-04-10,83.9,84.49,83.17,83.35,83.35,1795000
2019-04-11,83.4,83.99,83.29,83.94,83.94,2757100
2019-04-12,83.53,84.23,83.04,84.15,84.15,2458800
2019-04-15,84.15,84.61,83.96,84.26,84.26,2425500
2019-04-16,84.05,84.53,82.79,83.05,83.05,2187000
2019-04-17,83.1,83.63,82.73,83.2,83.2,2094100
2019-04-18,83.03,83.57,82.85,83.01,83.01,2268200
2019-04-22,82.93,83.13,82.51,82.93,82.93,2320100
2019-04-23,83.0,83.69,82.67,83.57,83.57,2722700
2019-04-24,83.68,84.35,83.4,84.02,84.02,2292200
2019-04-25,83.52,85.17,83.46,84.83,84.83,2249400
2019-04-26,85.47,85.77,84.56,84.71,84.71,1761200
2019-04-29,84.44,84.66,83.78,84.04,84.04,1474600
