Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,95.33,96.36,95.33,96.15,96.15,537100
2019-04-02,96.29,96.29,94.95,95.45,95.45,471900
2019-04-03,96.25,96.43,94.77,95.45,95.45,444700
2019-04-04,95.42,96.04,95.28,95.91,95.91,465200
2019-04-05,95.89,96.4,95.3,95.87,95.87,428100
2019-04-08,95.99,96.09,94.98,95.43,95.43,335700
2019-04-09,94.83,95.04,93.89,94.31,94.31,507000
2019-04-10,94.53,94.72,93.7,94.47,94.47,524800
2019-04-11,94.72,95.68,94.33,95.44,95.44,360000
2019-04-12,96.36,96.99,95.38,95.84,95.84,460900
2019-04-15,95.83,96.45,94.82,94.94,94.94,340200
2019-04-16,95.43,96.03,94.87,95.22,95.22,499100
2019-04-17,95.49,95.49,94.03,94.06,94.06,584200
2019-04-18,94.0,94.7,93.17,93.23,93.23,383400
2019-04-22,92.87,93.13,91.84,91.99,91.99,646400
2019-04-23,92.07,93.19,91.84,93.06,93.06,993900
2019-04-24,92.96,93.6,92.53,92.85,92.85,965500
2019-04-25,92.56,92.91,91.9,92.31,92.31,368800
2019-04-26,92.31,93.55,92.31,93.51,93.51,300900
2019-04-29,93.78,94.77,93.62,94.35,94.35,415500
