Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,133.15,134.5,131.31,131.82,131.82,2384400
2019-04-02,132.0,132.02,131.42,131.62,131.62,2069100
2019-04-03,132.07,132.07,130.85,130.97,130.97,2349100
2019-04-04,131.26,131.63,130.19,130.47,130.47,2266400
2019-04-05,130.82,131.77,130.43,131.59,131.59,2703000
2019-04-08,131.65,132.04,130.28,131.95,131.95,2123800
2019-04-09,131.23,132.53,131.03,131.83,131.83,2063400
2019-04-10,131.94,132.45,131.35,131.5,131.5,1634200
2019-04-11,131.76,131.89,130.85,131.43,131.43,1451900
2019-04-12,131.65,132.52,131.02,131.63,131.63,2187500
2019-04-15,131.61,131.93,129.68,130.5,130.5,2447700
2019-04-16,131.42,131.7,127.82,128.18,128.18,3125800
2019-04-17,129.11,129.79,124.01,124.88,124.88,5906300
2019-04-18,128.24,129.71,125.29,126.77,126.77,5793700
2019-04-22,125.53,127.57,125.0,126.87,126.87,2732300
2019-04-23,125.49,128.66,124.85,127.78,127.78,3482200
2019-04-24,127.76,129.88,127.28,129.3,129.3,2607000
2019-04-25,128.76,130.77,128.14,130.39,130.39,2165400
2019-04-26,130.96,131.41,129.79,130.93,130.93,1705900
2019-04-29,130.99,131.94,130.14,131.32,131.32,2343300
