Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,182.79,184.58,182.67,184.48,184.48,739600
2019-04-02,184.89,185.49,183.41,185.05,185.05,1245500
2019-04-03,186.45,187.3,185.5,186.22,186.22,767400
2019-04-04,186.78,187.65,185.71,186.83,186.83,546600
2019-04-05,187.69,188.51,186.59,187.24,187.24,652100
2019-04-08,186.7,187.82,185.63,187.17,187.17,954600
2019-04-09,186.25,187.02,185.41,186.66,186.66,771700
2019-04-10,186.82,187.83,184.79,185.28,185.28,1051300
2019-04-11,185.61,185.62,184.57,185.25,185.25,862300
2019-04-12,186.9,187.27,185.84,187.11,187.11,679800
2019-04-15,187.14,189.49,187.14,189.21,189.21,609300
2019-04-16,189.27,190.78,188.9,190.54,190.54,718000
2019-04-17,190.68,191.3,187.97,187.97,187.97,708100
2019-04-18,187.8,189.54,187.29,189.06,189.06,627300
2019-04-22,188.41,189.24,187.66,188.09,188.09,673100
2019-04-23,188.32,189.82,186.71,188.64,188.64,1211700
2019-04-24,188.63,194.96,185.65,194.37,194.37,1607300
2019-04-25,193.78,194.3,190.4,193.23,193.23,950900
2019-04-26,193.45,195.85,192.27,195.56,195.56,732100
2019-04-29,195.34,196.37,194.27,194.7,194.7,685200
