Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,158.14,161.99,157.92,161.73,161.73,735900
2019-04-02,161.24,163.23,160.44,161.74,161.74,592700
2019-04-03,163.02,164.19,161.15,161.88,161.88,557400
2019-04-04,161.77,164.04,160.95,163.29,163.29,624000
2019-04-05,163.66,164.24,162.17,163.22,163.22,703700
2019-04-08,163.11,164.23,162.36,164.06,164.06,378800
2019-04-09,163.11,163.54,160.87,162.13,162.13,520100
2019-04-10,162.56,163.3,160.78,163.05,163.05,589800
2019-04-11,164.03,165.56,163.13,164.5,164.5,617500
2019-04-12,166.14,169.34,165.69,167.76,167.76,1019600
2019-04-15,166.47,168.55,161.95,163.72,163.72,1167200
2019-04-16,164.1,168.82,163.34,168.28,168.28,953300
2019-04-17,168.43,169.04,166.87,168.48,168.48,562500
2019-04-18,167.95,168.71,166.19,166.34,166.34,567400
2019-04-22,165.95,166.9,165.13,166.49,166.49,465700
2019-04-23,166.18,167.62,164.53,167.15,167.15,824200
2019-04-24,166.5,167.06,164.91,166.56,166.56,593300
2019-04-25,165.56,168.5,165.06,167.78,167.78,457700
2019-04-26,167.81,169.12,167.05,168.96,168.96,429400
2019-04-29,169.26,171.61,169.13,170.64,170.64,610500
