Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,72.62,73.69,72.62,73.21,73.21,928300
2019-04-02,75.08,75.51,73.72,74.07,74.07,1149100
2019-04-03,74.92,75.54,74.13,74.41,74.41,1177900
2019-04-04,74.35,74.41,73.57,74.04,74.04,1032600
2019-04-05,74.47,74.93,74.3,74.89,74.89,623700
2019-04-08,74.51,75.37,74.31,75.25,75.25,665500
2019-04-09,74.99,75.78,74.9,75.22,75.22,819400
2019-04-10,74.9,76.72,74.83,76.23,76.23,1309600
2019-04-11,76.42,77.03,75.9,76.05,76.05,1352000
2019-04-12,76.75,77.24,75.93,77.19,77.19,986900
2019-04-15,77.16,77.26,76.08,76.39,76.39,672700
2019-04-16,76.78,78.76,76.78,78.31,78.31,2131300
2019-04-17,78.81,78.98,76.46,76.56,76.56,1329000
2019-04-18,76.64,77.0,76.14,76.68,76.68,934500
2019-04-22,76.22,76.86,75.96,76.01,76.01,1185400
2019-04-23,76.15,76.91,75.96,76.6,76.6,1651000
2019-04-24,77.05,78.51,76.66,77.25,77.25,1316200
2019-04-25,77.21,77.81,76.12,77.3,77.3,1063200
2019-04-26,73.85,75.16,72.55,74.99,74.99,2006300
2019-04-29,75.33,75.6,74.72,75.45,75.45,1237000
