Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,157.53,157.73,156.55,157.26,157.26,6420100
2019-04-02,157.66,158.15,156.75,157.78,157.78,6215100
2019-04-03,158.55,159.11,157.85,158.46,158.46,8211700
2019-04-04,158.53,158.69,156.53,157.64,157.64,5100200
2019-04-05,158.0,158.63,157.23,157.65,157.65,4178300
2019-04-08,157.55,157.85,156.32,157.75,157.75,5604700
2019-04-09,156.56,157.99,156.47,157.49,157.49,6364100
2019-04-10,157.99,158.78,157.52,158.56,158.56,3918600
2019-04-11,159.11,159.3,157.44,157.86,157.86,5771400
2019-04-12,158.71,159.64,157.86,159.64,159.64,6745100
2019-04-15,159.83,160.48,159.19,160.44,160.44,8142800
2019-04-16,161.04,161.1,159.55,160.23,160.23,6021400
2019-04-17,160.87,161.07,160.31,160.44,160.44,4609100
2019-04-18,160.93,161.1,159.0,160.16,160.16,7859400
2019-04-22,159.2,160.48,159.07,160.4,160.4,4602600
2019-04-23,161.0,161.88,159.87,161.66,161.66,6522900
2019-04-24,161.75,162.03,160.65,161.49,161.49,7376500
2019-04-25,160.52,161.6,158.55,161.02,161.02,8862500
2019-04-26,161.26,163.03,160.4,162.93,162.93,7525400
2019-04-29,163.21,164.5,163.1,164.15,164.15,10002800
