Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,124.0,129.5,123.9,129.34,129.34,4497300
2019-04-02,129.74,136.44,127.54,135.03,135.03,5559100
2019-04-03,136.0,140.65,135.01,137.63,137.63,4217000
2019-04-04,138.15,140.97,136.81,139.67,139.67,2684500
2019-04-05,140.0,141.29,138.6,140.94,140.94,1856900
2019-04-08,145.31,145.94,142.63,144.85,144.85,3477600
2019-04-09,142.75,142.99,138.1,139.26,139.26,3139400
2019-04-10,139.82,141.12,138.96,141.0,141.0,1371400
2019-04-11,140.96,141.47,139.28,141.02,141.02,1767900
2019-04-12,142.0,143.9,141.1,143.78,143.78,2177600
2019-04-15,143.34,143.95,139.54,141.82,141.82,2006400
2019-04-16,142.2,144.98,141.81,144.72,144.72,1579900
2019-04-17,145.0,145.89,143.16,143.36,143.36,1690900
2019-04-18,143.95,144.68,141.39,142.44,142.44,1832200
2019-04-22,141.86,142.04,138.27,140.0,140.0,1579800
2019-04-23,140.23,143.06,139.05,142.9,142.9,1847100
2019-04-24,142.88,144.84,141.94,144.4,144.4,1361600
2019-04-25,146.58,147.9,144.35,147.0,147.0,1949000
2019-04-26,148.0,150.67,147.51,149.3,149.3,1634800
2019-04-29,151.36,151.5,148.25,148.77,148.77,1330800
