Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,32.52,33.1,32.52,33.01,33.01,3519600
2019-04-02,32.92,33.15,32.76,32.95,32.95,3411600
2019-04-03,33.14,33.67,32.93,33.09,33.09,2400800
2019-04-04,33.11,33.31,32.95,33.05,33.05,937900
2019-04-05,33.07,33.57,33.07,33.38,33.38,2409800
2019-04-08,33.28,33.83,33.28,33.75,33.75,2906000
2019-04-09,33.59,33.66,33.14,33.24,33.24,1672400
2019-04-10,33.2,33.96,33.14,33.84,33.84,1856400
2019-04-11,34.0,34.34,33.94,34.25,34.25,2041200
2019-04-12,34.59,34.64,34.29,34.39,34.39,1446800
2019-04-15,34.36,34.68,34.36,34.53,34.53,1526300
2019-04-16,34.67,35.01,34.58,35.0,35.0,2067600
2019-04-17,35.0,35.18,34.53,34.67,34.67,2227000
2019-04-18,34.66,34.99,34.48,34.56,34.56,2745600
2019-04-22,34.34,34.42,33.42,33.81,33.81,4078700
2019-04-23,33.97,34.46,33.68,34.19,34.19,3690800
2019-04-24,34.25,34.25,33.62,33.69,33.69,2927800
2019-04-25,33.34,33.44,31.46,32.21,32.21,3662100
2019-04-26,32.18,32.83,31.92,32.31,32.31,2798500
2019-04-29,32.35,33.28,32.3,33.03,33.03,2776300
